Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2020-2021,DeAndre Yedlin,us USA,DF,Newcastle Utd,27,1993,6,5,436,4.8,0,0,0,0,0,0,0.1,0.1,0.1,6,12,15
2020-2021,Okay Yokuşlu,tr TUR,MF,West Brom,26,1994,16,15,1317,14.6,0,1,0,0,4,0,0.9,0.9,0.7,5,54,5
2020-2021,Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,30,29,2612,29,11,2,2,2,6,0,8.1,6.5,3.1,103,72,259
2020-2021,Andi Zeqiri,ch SUI,FWDF,Brighton,21,1999,9,0,171,1.9,0,0,0,0,0,0,0.7,0.7,0.1,2,2,14
2020-2021,Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,20,15,1478,16.4,0,0,0,0,0,0,0.7,0.7,0.9,38,118,65
2020-2021,Hakim Ziyech,ma MAR,MFFW,Chelsea,27,1993,23,15,1172,13,2,3,0,0,3,0,1.9,1.9,3.6,27,91,108
2020-2021,Kurt Zouma,fr FRA,DF,Chelsea,25,1994,24,22,2029,22.5,5,0,0,0,3,0,2,2,0.1,14,74,8
2020-2021,Martin Ødegaard,no NOR,MF,Arsenal,21,1998,14,9,866,9.6,1,2,0,0,0,0,0.7,0.7,2,16,65,49
2020-2021,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24,1995,36,29,2587,28.7,0,3,0,0,6,0,1.6,1.6,2.5,81,156,68
2019-2020,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,1,1,0,0,2.1,1.3,3.7,60,143,89
2019-2020,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,3240,36,0,1,0,0,7,0,0.6,0.6,3.9,92,78,151
2019-2020,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,0,0,2,0,16.4,16.4,2.7,31,34,134
2019-2020,Che Adams,sct SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,0,0,0,0,5.3,5.3,1.7,20,16,87
2019-2020,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,1,0,0,0,0,0,0,0
2019-2020,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,2,3,1,0,14.5,12.1,2.3,35,34,105
2019-2020,Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0.2,0.2,0.1,0,0,10
2019-2020,Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,0,0,2,0,3,3,2.2,12,81,7
2019-2020,Marc Albrighton,eng ENG,MFDF,Leicester City,29,1989,20,9,867,9.6,0,3,0,0,2,0,0.4,0.4,2.2,20,45,94
2019-2020,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,33,2957,32.9,2,2,0,0,7,0,0.7,0.7,1.3,11,96,10
2019-2020,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,35,3175,35.3,4,13,0,0,5,0,2.8,2.8,10.9,98,247,226
2019-2020,Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0,1,0,0,0,1,0,0,0.3,0,1,0
2019-2020,Dele Alli,eng ENG,MFFW,Tottenham,23,1996,25,21,1847,20.5,8,4,1,1,2,0,8.1,7.3,3.5,56,69,152
2019-2020,Miguel Almirón,py PAR,MFFW,Newcastle Utd,25,1994,36,35,3021,33.6,4,2,0,0,5,0,6.7,6.7,3,120,77,160
2019-2020,Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,1430,15.9,4,2,0,0,4,0,2.6,2.6,2.6,62,69,155
2019-2020,Steven Alzate,co COL,MFDF,Brighton,20,1998,19,12,1188,13.2,0,0,0,0,1,0,1.2,1.2,0.7,34,66,92
2019-2020,Ibrahim Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,759,8.4,0,0,0,0,1,0,0.8,0.8,0,4,13,1
2019-2020,Felipe Anderson,br BRA,MFFW,West Ham,26,1993,25,20,1497,16.6,1,4,0,0,1,0,2.5,2.5,3.1,106,100,132
2019-2020,Florin Andone,ro ROU,FW,Brighton,26,1993,3,1,73,0.8,1,0,0,0,0,1,0.4,0.4,0.1,2,0,4
2019-2020,Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,4.7,0,0,0,0,1,0,0.2,0.2,1.5,21,41,70
2019-2020,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0,1,1,1
2019-2020,Michail Antonio,jm JAM,FW,West Ham,29,1990,24,19,1768,19.6,10,3,1,1,3,0,12.9,12.1,3.7,53,39,178
2019-2020,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,30,19,1715,19.1,5,3,0,0,4,0,2.8,2.8,2,45,71,101
2019-2020,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Christian Atsu,gh GHA,MFFW,Newcastle Utd,27,1992,19,6,749,8.3,0,3,0,0,2,0,0.2,0.2,1.3,29,16,22
2019-2020,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,3136,34.8,22,3,2,2,3,1,14.7,13.2,3.3,98,81,288
2019-2020,Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,2700,30,1,5,0,0,4,1,0.5,0.5,3.4,66,93,205
2019-2020,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,37,37,3148,35,9,2,0,0,6,0,7.5,7.5,2.5,77,60,184
2019-2020,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3229,35.9,2,6,0,0,1,0,2.4,2.4,6,59,193,226
2019-2020,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,1.7,0,0,0,0,0,0,0,0,0,1,4,1
2019-2020,Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,4.5,0,0,0,0,0,0,0.1,0.1,0.8,12,10,18
2019-2020,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,13.1,1,0,0,0,2,0,1.5,1.5,0.5,8,35,2
2019-2020,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,38,3420,38,2,3,0,0,7,0,0.6,0.6,1.7,97,103,197
2019-2020,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,21,1890,21,0,1,0,0,6,0,0.3,0.3,1.4,23,70,27
2019-2020,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,12.3,1,4,0,0,0,0,2.7,2.7,2.3,46,64,63
2019-2020,Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,1352,15,6,0,1,1,4,0,6.2,5.4,0.3,10,18,61
2019-2020,Harvey Barnes,eng ENG,MFFW,Leicester City,21,1997,36,24,2083,23.1,6,8,0,0,0,0,8.1,8.1,4.1,95,90,221
2019-2020,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,36,0,1,0,0,4,0,0.3,0.3,1.3,32,82,70
2019-2020,Borja Bastón,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,1,0
2019-2020,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,2.7,1,1,0,0,0,0,2.4,2.4,0.2,8,1,22
2019-2020,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,34,1,1,0,0,4,0,1.1,1.1,1.1,4,90,0
2019-2020,Héctor Bellerín,es ESP,DFMF,Arsenal,24,1995,15,13,1158,12.9,1,0,0,0,2,0,0.4,0.4,0.4,34,58,70
2019-2020,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,6.7,0,0,0,0,2,0,0.1,0.1,0.1,3,17,0
2019-2020,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,3.7,0,0,0,0,0,0,0,0,0,3,13,1
2019-2020,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,8.3,0,0,0,0,2,0,0.1,0.1,0.2,2,19,1
2019-2020,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,14,2,1,0,0,4,1,5.1,5.1,2.6,22,28,79
2019-2020,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,6.9,1,1,0,0,0,0,0.6,0.6,1,18,6,31
2019-2020,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.5,1,1,0,0,0,0,0.6,0.6,0.6,18,52,35
2019-2020,Steven Bergwijn,nl NED,FWMF,Tottenham,21,1997,14,8,704,7.8,3,1,0,0,2,0,1,1,0.9,24,12,50
2019-2020,Bernard,br BRA,MFFW,Everton,26,1992,27,15,1280,14.2,3,2,0,0,2,0,1.8,1.8,2.4,40,76,106
2019-2020,Bernardo,br BRA,DFMF,Brighton,24,1995,14,7,679,7.5,0,0,0,0,1,0,0.5,0.5,1.1,22,56,41
2019-2020,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,30.5,1,1,0,0,3,1,1.7,1.7,3.3,78,130,134
2019-2020,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,2.8,0,0,0,0,2,0,0.2,0.2,0.1,3,11,0
2019-2020,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2530,28.1,1,1,0,0,8,0,2,2,1.7,29,100,59
2019-2020,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1259,14,1,0,0,0,4,0,0.4,0.4,0.2,25,63,16
2019-2020,Willy Boly,ci CIV,DF,Wolves,28,1991,22,22,1979,22,0,1,0,0,3,1,0.4,0.4,1.1,4,48,5
2019-2020,Gaëtan Bong,cm CMR,DFMF,Brighton,31,1988,4,0,59,0.7,0,0,0,0,0,0,0,0,0.2,4,5,8
2019-2020,Sofiane Boufal,ma MAR,MFFW,Southampton,25,1993,20,8,764,8.5,0,2,0,0,2,0,1,1,2.9,48,41,67
2019-2020,Jarrod Bowen,eng ENG,FWMF,West Ham,22,1996,13,11,917,10.2,1,4,0,0,0,0,2.3,2.3,2.7,33,19,80
2019-2020,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,5,1,2,0,0,1,0,1.1,1.1,0.4,5,20,23
2019-2020,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,3.3,0,0,0,0,0,0,0,0,0,0,4,0
2019-2020,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,2
2019-2020,David Brooks,wls WAL,MFFW,Bournemouth,22,1997,9,8,506,5.6,1,0,0,0,1,0,0.5,0.5,0.3,4,17,24
2019-2020,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,8.9,0,0,0,0,2,0,0.5,0.5,0.1,2,20,15
2019-2020,Emi Buendía,ar ARG,FWMF,Norwich City,22,1996,36,28,2464,27.4,1,7,0,0,6,1,2.2,2.2,6.8,68,194,106
2019-2020,Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,2880,32,0,0,0,0,5,0,1.2,1.2,1.3,52,135,93
2019-2020,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293,14.4,0,0,0,0,4,0,1.4,1.4,0.4,21,41,58
2019-2020,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,2167,24.1,0,1,0,0,1,0,1.6,1.6,0.2,5,48,2
2019-2020,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,2626,29.2,13,1,0,0,9,0,15.3,15.3,1.5,40,50,156
2019-2020,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,1208,13.4,0,0,0,0,4,0,0.6,0.6,2.8,42,105,80
2019-2020,Todd Cantwell,eng ENG,FWMF,Norwich City,21,1998,37,30,2489,27.7,6,2,0,0,6,0,5.4,5.4,1.9,75,99,138
2019-2020,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,2627,29.2,0,3,0,0,8,0,0.8,0.8,3.3,16,132,23
2019-2020,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,7,0,4,0,0,1,0,1.2,1.2,1.4,4,17,34
2019-2020,Jonny Castro,es ESP,MFDF,Wolves,25,1994,35,33,2887,32.1,2,2,0,0,4,0,1.6,1.6,1.3,100,97,180
2019-2020,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,2488,27.6,0,0,0,0,7,0,0.2,0.2,0.1,2,61,3
2019-2020,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,1692,18.8,0,2,0,0,1,0,0.6,0.6,1.8,60,174,38
2019-2020,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,10.3,0,1,0,0,1,0,0.5,0.5,1.3,4,35,22
2019-2020,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1102,12.2,1,1,0,0,5,0,0.8,0.8,1.6,16,45,67
2019-2020,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,2373,26.4,3,3,0,0,3,0,1,1,3.9,109,126,180
2019-2020,Tahith Chong,nl NED,FWDF,Manchester Utd,19,1999,3,0,37,0.4,0,0,0,0,0,0,0.1,0.1,0,2,0,5
2019-2020,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,9.9,1,1,0,0,4,1,0.4,0.4,0.1,5,32,10
2019-2020,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,1751,19.5,0,0,0,0,5,0,0.5,0.5,0.9,17,75,1
2019-2020,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1186,13.2,2,0,0,0,3,0,1.3,1.3,0,2,16,2
2019-2020,Leon Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,2,0,35,0.4,0,0,0,0,0,0,0.5,0.5,0,0,0,2
2019-2020,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,10.8,1,0,0,0,2,0,2.1,2.1,0.7,13,49,43
2019-2020,Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,3420,38,0,0,0,0,5,0,0,0,0.5,3,64,0
2019-2020,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,1839,20.4,0,1,0,0,5,1,0.9,0.9,1.7,49,77,93
2019-2020,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,1258,14,3,1,0,0,0,0,4,4,0.5,21,10,86
2019-2020,Lewis Cook,eng ENG,MFFW,Bournemouth,22,1997,27,14,1352,15,0,0,0,0,5,0,0.3,0.3,0.5,18,80,31
2019-2020,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2428,27,1,0,0,0,6,1,0.7,0.7,0.5,7,73,5
2019-2020,Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,2613,29,0,0,0,0,1,0,2,2,1.1,13,67,31
2019-2020,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2727,30.3,3,0,0,0,7,0,1.4,1.4,3.2,43,166,97
2019-2020,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,3.3,2,0,0,0,0,0,2.2,2.2,0.3,5,1,20
2019-2020,Diogo Dalot,pt POR,DFMF,Manchester Utd,20,1999,4,1,67,0.7,0,0,0,0,0,0,0.3,0.3,0,2,3,7
2019-2020,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,1.4,0,0,0,0,0,0,0,0,0.1,1,2,3
2019-2020,Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,14,6,630,7,0,0,0,0,0,0,1.2,1.2,0.2,31,21,60
2019-2020,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1266,14.1,0,1,0,0,0,0,0.8,0.8,0.4,1,28,2
2019-2020,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,3.1,0,1,0,0,2,1,0.1,0.1,0.2,6,12,4
2019-2020,Ben Davies,wls WAL,DF,Tottenham,26,1993,18,16,1431,15.9,0,0,0,0,6,0,0.2,0.2,0.9,32,53,54
2019-2020,Tom Davies,eng ENG,MF,Everton,21,1998,30,23,2027,22.5,1,0,0,0,8,0,1.6,1.6,0.5,24,113,32
2019-2020,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,6.1,0,0,0,0,0,0,2.7,2.7,0.2,19,9,50
2019-2020,Craig Dawson,eng ENG,DF,Watford,29,1990,29,26,2361,26.2,2,0,0,0,6,0,3,3,0.5,4,63,7
2019-2020,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,2791,31,13,20,2,2,3,0,7.3,5.8,20,139,280,257
2019-2020,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,2225,24.7,10,2,5,6,3,0,10.5,5.8,3.5,12,81,104
2019-2020,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,1190,13.2,0,0,0,0,5,1,0.1,0.1,0.4,19,94,9
2019-2020,Leander Dendoncker,be BEL,MFDF,Wolves,24,1995,38,32,2795,31.1,4,0,0,0,5,0,1.8,1.8,0.7,17,68,39
2019-2020,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,2098,23.3,4,5,1,1,3,0,6.3,5.5,4.1,123,63,170
2019-2020,Eric Dier,eng ENG,DFMF,Tottenham,25,1994,19,15,1344,14.9,0,2,0,0,5,0,0.9,0.9,0.4,4,37,4
2019-2020,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,3030,33.7,0,7,0,0,6,0,1.5,1.5,6.3,69,134,251
2019-2020,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,2766,30.7,3,1,0,0,8,0,1.5,1.5,1.2,7,44,2
2019-2020,Moussa Djenepo,ml MLI,MFDF,Southampton,21,1998,18,10,928,10.3,2,2,0,0,4,1,2.4,2.4,1.9,39,27,72
2019-2020,Matt Doherty,ie IRL,MFDF,Wolves,27,1992,36,32,2839,31.5,4,3,0,0,1,0,6.9,6.9,2.2,75,158,155
2019-2020,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,37,36,3156,35.1,4,2,0,0,9,0,5.2,5.2,3.9,69,161,96
2019-2020,Thomas Doyle,eng ENG,MF,Manchester City,17,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,2.9,0,0,0,0,1,0,0.1,0.1,0,2,20,4
2019-2020,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,1
2019-2020,Josip Drmić,ch SUI,FW,Norwich City,26,1992,21,5,647,7.2,1,0,0,0,0,1,3.1,3.1,1.1,5,4,42
2019-2020,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,8,0,0,0,0,0,0,0.5,0.5,1.5,8,25,17
2019-2020,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,1238,13.8,1,0,0,0,2,0,1.2,1.2,0.2,4,29,2
2019-2020,Paul Dummett,wls WAL,DF,Newcastle Utd,27,1991,16,14,1228,13.6,0,0,0,0,2,0,0.1,0.1,0.2,7,31,16
2019-2020,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,3230,35.9,3,3,0,0,9,0,4.5,4.5,1.5,18,110,5
2019-2020,Ederson,br BRA,GK,Manchester City,25,1993,35,35,3071,34.1,0,0,0,0,3,1,0,0,0.1,0,0,0
2019-2020,John Egan,ie IRL,DF,Sheffield Utd,26,1992,36,36,3187,35.4,2,0,0,0,5,1,2.7,2.7,0.4,6,66,5
2019-2020,Harvey Elliott,eng ENG,DF,Liverpool,16,2003,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,2,1
2019-2020,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18,11,1031,11.5,1,1,0,0,1,0,0.2,0.2,2.8,39,47,37
2019-2020,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,1447,16.1,1,0,0,0,1,0,1,0.9,0.3,5,43,2
2019-2020,Christian Eriksen,dk DEN,MFFW,Tottenham,27,1992,20,10,1097,12.2,2,2,0,0,5,0,1.9,1.9,1.9,28,74,32
2019-2020,Jonny Evans,nir NIR,DF,Leicester City,31,1988,38,38,3383,37.6,1,1,0,0,8,1,3.7,3.7,0.7,31,157,4
2019-2020,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,2117,23.5,0,0,0,0,1,0,0,0,0,0,0,0
2019-2020,Fabinho,br BRA,MF,Liverpool,25,1993,28,22,2079,23.1,2,3,0,0,6,0,0.4,0.4,1.6,19,129,23
2019-2020,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Akin Famewo,eng ENG,MF,Norwich City,20,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Kiko Femenía,es ESP,DF,Watford,28,1991,28,26,2237,24.9,0,0,0,0,5,0,0.1,0.1,1.4,49,85,81
2019-2020,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,14,14,1186,13.2,8,7,4,4,2,0,6.2,3,2.5,34,110,92
2019-2020,Gedson Fernandes,pt POR,MFDF,Tottenham,20,1999,7,0,68,0.8,0,0,0,0,0,0,0,0,0.1,9,4,15
2019-2020,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,32,29,2620,29.1,2,2,0,0,8,0,1.4,1.4,1.2,4,43,13
2019-2020,Fernandinho,br BRA,DF,Manchester City,34,1985,30,26,2397,26.6,0,1,0,0,9,2,1,1,0.4,51,213,7
2019-2020,Roberto Firmino,br BRA,FW,Liverpool,27,1991,38,34,2988,33.2,9,8,0,0,0,0,14,14,6.5,90,111,218
2019-2020,John Fleck,sct SCO,MF,Sheffield Utd,27,1991,30,28,2516,28,5,2,0,0,8,0,3.1,3.1,3.4,48,139,90
2019-2020,Phil Foden,eng ENG,FWMF,Manchester City,19,2000,23,9,901,10,5,2,0,0,0,0,3.3,3.3,1.2,36,49,102
2019-2020,Pablo Fornals,es ESP,MFFW,West Ham,23,1996,36,24,2172,24.1,2,5,0,0,3,0,2.3,2.3,2.5,45,91,156
2019-2020,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,3420,38,0,0,0,0,1,0,0.1,0.1,0,0,0,0
2019-2020,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,3,2,136,1.5,0,0,0,0,1,0,0.1,0.1,0.1,4,4,11
2019-2020,Dimitri Foulquier,fr FRA,DFMF,Watford,26,1993,3,1,59,0.7,0,0,0,0,0,0,0,0,0,3,3,1
2019-2020,Juan Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0.8,0,0,0,0,1,0,0,0,0,0,4,0
2019-2020,Simon Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,10.8,0,0,0,0,5,1,0.1,0.1,0.2,5,26,16
2019-2020,Ryan Fraser,sct SCO,MFFW,Bournemouth,25,1994,28,21,2067,23,1,4,0,0,2,0,3.7,3.7,3.9,99,100,164
2019-2020,Fred,br BRA,MF,Manchester Utd,26,1993,29,23,2163,24,0,0,0,0,8,0,1.7,1.7,2.1,28,158,39
2019-2020,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,27,25,2237,24.9,0,3,0,0,7,0,0.1,0.1,2.6,63,72,110
2019-2020,Kieron Freeman,wls WAL,FW,Sheffield Utd,27,1992,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,11,3,366,4.1,0,0,0,0,2,0,0.1,0.1,0.2,14,20,23
2019-2020,Christian Fuchs,at AUT,DF,Leicester City,33,1986,11,8,772,8.6,0,0,0,0,0,0,0.2,0.2,0.1,8,46,18
2019-2020,Eric García,es ESP,DF,Manchester City,18,2001,13,8,793,8.8,0,0,0,0,1,0,0.5,0.5,0.2,7,53,0
2019-2020,James Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,20,10,850,9.4,4,2,0,0,2,0,4.3,4.3,0.8,7,7,43
2019-2020,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,17.9,0,0,0,0,1,0,0,0,0.3,0,0,0
2019-2020,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,1.5,0,0,0,0,0,0,0,0,0,0,7,3
2019-2020,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,3420,38,0,0,0,0,2,0,0,0,0,0,0,0
2019-2020,Anwar El Ghazi,nl NED,FWMF,Aston Villa,24,1995,34,26,2051,22.8,4,4,1,1,3,0,6.2,5.4,2.7,65,47,155
2019-2020,Morgan Gibbs-White,eng ENG,MFFW,Wolves,19,2000,7,1,129,1.4,0,0,0,0,0,0,0.1,0.1,0.1,5,6,11
2019-2020,Billy Gilmour,sct SCO,MF,Chelsea,18,2001,6,2,194,2.2,0,0,0,0,0,0,0,0,0.1,4,11,3
2019-2020,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,18,12,993,11,8,0,0,0,1,0,7.3,7.3,0.9,6,7,59
2019-2020,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,30,30,2644,29.4,0,0,0,0,3,1,0.7,0.7,0.1,23,76,2
2019-2020,André Gomes,pt POR,MF,Everton,26,1993,19,17,1458,16.2,0,1,0,0,6,0,0.2,0.2,1.1,10,105,16
2019-2020,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0.2,0,0,0,0,0,0,0,0,0.1,2,4,2
2019-2020,Joe Gomez,eng ENG,DF,Liverpool,22,1997,28,22,2004,22.3,0,0,0,0,7,0,0,0,0.2,17,115,11
2019-2020,Anthony Gordon,eng ENG,MFFW,Everton,18,2001,11,4,440,4.9,0,1,0,0,0,0,0.3,0.3,0.4,13,9,26
2019-2020,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,24,14,1264,14,3,1,0,0,3,0,2.9,2.9,1.1,10,55,36
2019-2020,Andre Gray,jm JAM,FW,Watford,28,1991,23,7,755,8.4,2,0,0,0,1,0,2.4,2.4,1.8,6,15,64
2019-2020,Demarai Gray,eng ENG,MFFW,Leicester City,23,1996,21,3,622,6.9,2,3,0,1,1,0,2.8,2,2.1,40,21,78
2019-2020,Jack Grealish,eng ENG,FWMF,Aston Villa,23,1995,36,36,3233,35.9,8,6,0,1,8,0,6.8,6,7.4,212,197,209
2019-2020,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,31,12,1320,14.7,10,1,0,0,0,0,2.9,2.9,1,32,37,116
2019-2020,Pascal Groß,de GER,MFFW,Brighton,28,1991,29,22,1796,20,2,4,0,0,4,0,1.6,1.6,5.3,36,135,198
2019-2020,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,35,0,0,0,0,1,0,0,0,0,0,0,0
2019-2020,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,24,19,1748,19.4,0,1,0,0,6,0,0.8,0.8,1.1,50,160,27
