Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2020-2021,Rúben Dias,pt POR,DF,Manchester City,23,1997,32,32,2843,31.6,1,0,0,0,4,0,1.9,1.9,0.1,38,154,5
2020-2021,Eric Dier,eng ENG,DF,Tottenham,26,1994,28,28,2520,28,0,0,0,0,3,0,1.2,1.2,0.3,21,65,6
2020-2021,Lucas Digne,fr FRA,DFMF,Everton,27,1993,30,30,2681,29.8,0,7,0,0,2,1,0.5,0.5,5.2,59,98,197
2020-2021,Issa Diop,fr FRA,DF,West Ham,23,1997,18,15,1381,15.3,2,0,0,0,3,0,0.5,0.5,0,4,30,1
2020-2021,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,27,15,1240,13.8,1,0,0,0,5,0,0.8,0.8,0.4,28,32,78
2020-2021,Matt Doherty,ie IRL,DF,Tottenham,28,1992,17,13,1240,13.8,0,2,0,0,4,1,0.4,0.4,0.7,18,42,68
2020-2021,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,23,22,1996,22.2,2,0,0,0,4,1,1.3,1.3,0.1,18,80,8
2020-2021,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,29,29,2443,27.1,2,3,0,0,6,0,2.3,2.3,2,34,104,70
2020-2021,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,15,14,1255,13.9,1,0,0,0,2,0,0.3,0.3,0.2,2,29,5
2020-2021,Lewis Dunk,eng ENG,DF,Brighton,28,1991,33,33,2931,32.6,5,0,0,0,5,2,2.2,2.2,1.2,27,82,7
2020-2021,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,3,270,3,1,0,0,0,1,0,0.5,0.5,0.1,0,4,1
2020-2021,Ederson,br BRA,GK,Manchester City,26,1993,36,36,3240,36,0,1,0,0,3,0,0,0,0.3,0,1,0
2020-2021,Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,5,1,118,1.3,0,0,0,0,0,0,0.1,0.1,0,5,3,4
2020-2021,John Egan,ie IRL,DF,Sheffield Utd,27,1992,31,30,2629,29.2,0,1,0,0,7,1,0.8,0.8,0.6,11,60,2
2020-2021,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,2,2,155,1.7,1,0,0,0,0,0,0.4,0.4,0,2,3,13
2020-2021,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,14,8,839,9.3,0,0,0,0,2,0,0.4,0.4,1,10,45,36
2020-2021,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,23,17,1544,17.2,1,0,0,0,3,0,0.4,0.4,0.2,17,99,12
2020-2021,Jonny Evans,nir NIR,DF,Leicester City,32,1988,28,28,2473,27.5,2,2,0,0,7,0,1.7,1.7,0.4,7,96,5
2020-2021,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,34,29,2559,28.4,4,6,0,0,3,0,2.2,2.2,3.9,79,127,126
2020-2021,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,35,3150,35,0,0,0,0,2,0,0,0,0,0,0,0
